price,address,property_type,bedrooms,bathrooms,size_square_meters,latitude,longitude,borough,Price_per_square_meter
900000.0,"Elsinore Gardens, London, NW2",Semi-Detached,4.0,2.0,148.0,51.5629298,-0.2097261,Barnet,6081.081081081081
900000.0,"Warwick Avenue, Edgware",Semi-Detached,4.0,2.0,168.0,51.623414,-0.2689549,Barnet,5357.142857142857
900000.0,"Hendon Way, NW2",House,4.0,2.0,150.0,51.5593734,-0.1980567,Barnet,6000.0
900000.0,"West Heath Road, Hampstead, London, NW3",Flat,3.0,2.0,97.0,51.5614698,-0.1820603,Barnet,9278.350515463915
895000.0,"Lyndale Avenue, London, NW2 2QA",Maisonette,3.0,2.0,139.0,51.5605726,-0.1989899,Barnet,6438.848920863309
875000.0,"Wycherley Crescent, New Barnet, Barnet, EN5",Semi-Detached,6.0,3.0,141.0,51.6439107,-0.1853003,Barnet,6205.673758865249
875000.0,"Salisbury Road, Barnet",End of Terrace,4.0,2.0,156.0,51.6555794,-0.2071529,Barnet,5608.974358974359
875000.0,"Squirrels Close, North Finchley N12",Semi-Detached,4.0,3.0,141.0,51.6205573,-0.1796602,Barnet,6205.673758865249
875000.0,"Princess Park Manor, Friern Barnet, London, N11",Flat,2.0,2.0,122.0,51.61313495,-0.1475090223355859,Barnet,7172.131147540984
860000.0,"Moxon Street, Barnet, Hertfordshire, EN5",Semi-Detached,6.0,5.0,172.0,51.6543086,-0.1989614,Barnet,5000.0
850000.0,"Henry Darlot Drive, London, NW7 1RF",Flat,2.0,2.0,147.0,51.6139161,-0.2088118,Barnet,5782.312925170068
850000.0,"Hogarth Hill, Hampstead Garden Suburb, NW11",End of Terrace,3.0,2.0,110.0,51.5869042,-0.1976584,Barnet,7727.272727272727
850000.0,"Wentworth Road, Barnet",Detached,3.0,1.0,99.0,51.6577286,-0.2122364,Barnet,8585.858585858587
850000.0,"Spencer Close, Finchley, N3",Maisonette,4.0,2.0,126.0,51.5980506,-0.1965041,Barnet,6746.0317460317465
850000.0,"New Barnet, Oakleigh Park, EN5",Semi-Detached,4.0,2.0,158.0,51.6376675,-0.1662251,Barnet,5379.7468354430375
